repo_name,languages,stars_count,forks_count,resolution_time_hours
atom/atom,"Shell, CoffeeScript, JavaScript, HTML, Batchfile, Dockerfile, Less, EJS",60060,17395,2539.2042194444443
kelseyhightower/nocode,Dockerfile,59966,4719,8389.250125
adam-p/markdown-here,"HTML, JavaScript, CSS, Makefile",59568,11261,2269.596022222222
apache/echarts,"JavaScript, HTML, TypeScript, Smarty, Shell",59567,19578,893.7807944444444
tesseract-ocr/tesseract,"C++, C, Shell, Java, Makefile, CMake, M4, Python",59524,9233,3136.6553361111114
xingshaocheng/architect-awesome,,59445,17814,3408.1703535353536
lodash/lodash,"JavaScript, Shell, TypeScript",59243,6988,990.2633
awesomedata/awesome-public-datasets,,59233,9756,2391.0368026004726
h5bp/Front-end-Developer-Interview-Questions,"JavaScript, CSS, Nunjucks",59227,11033,6938.815169444444
sdmg15/Best-websites-a-programmer-should-visit,,59200,7487,3380.9322923976606
xtekky/gpt4free,"Python, Dockerfile, CSS, HTML, JavaScript, Shell",59122,13167,36.64704166666667
jquery/jquery,"JavaScript, PHP, HTML, CSS, Shell",59046,20621,4852.2085916666665
angular/angular.js,"JavaScript, HTML, Shell, CSS, BitBake",58902,27549,6568.373041666667
scikit-learn/scikit-learn,"Python, Shell, C, C++, Makefile, Cython, Starlark, JavaScript, CSS, Meson",58805,25136,8337.648152777778
d2l-ai/d2l-zh,"Python, HTML, TeX, Shell",58560,10600,0
FuelLabs/fuel-core,"Rust, Dockerfile, Shell",58309,2725,3968.3681527777776
swisskyrepo/PayloadsAllTheThings,"PHP, Python, HTML, Shell, Ruby, Jupyter Notebook, JavaScript, XSLT, ASP.NET, Classic ASP",58211,14172,0
shadowsocks/shadowsocks-windows,"C#, JavaScript",58092,16402,527.0511222222223
ocornut/imgui,"C, C++, Objective-C, Objective-C++, Shell, GLSL, GDB",57784,9908,2644.1069916666665
TheAlgorithms/Java,"Java, Dockerfile",57620,18769,3124.856863888889
openai/openai-cookbook,MDX,57469,9074,1867.6179000000002
obsproject/obs-studio,"CMake, C, Shell, C++, Objective-C, Objective-C++, Python, Lua, Batchfile, Swift",57217,7716,16149.949536111111
bradtraversy/design-resources-for-developers,,57124,11317,39.452959976105134
chrislgarry/Apollo-11,Assembly,57069,6835,2066.8158027777777
Eugeny/tabby,"CSS, JavaScript, TypeScript, Batchfile, Lua, Shell, C++, C, NSIS, Pug",56982,3294,3738.9347555555555
fffaraz/awesome-cpp,,56973,7697,6343.6002499999995
sindresorhus/awesome-nodejs,,56941,5803,1162.2037861111112
binhnguyennus/awesome-scalability,,56723,5857,0
h5bp/html5-boilerplate,"HTML, JavaScript",56218,12181,869.2089361111111
spring-projects/spring-framework,"Groovy, Java, HTML, AspectJ, Ruby, Smarty, CSS, JavaScript, XSLT, Python",55645,37774,12698.841519444444
caddyserver/caddy,"Go, Shell, HTML",55523,3912,2102.5240361111114
prakhar1989/awesome-courses,,55363,8123,2817.8937891737896
rails/rails,"Ruby, HTML, CSS, JavaScript, Yacc, Shell, Dockerfile, SCSS",55286,21415,964.0438111111112
danielmiessler/SecLists,"PHP, Shell, HTML, Perl, Python, Hack, Java, ColdFusion, ASP.NET, Classic ASP",55184,23511,3590.1511944444446
gatsbyjs/gatsby,"JavaScript, CSS, Dockerfile, TypeScript, HTML, Shell, Python, EJS, Less, SCSS",55137,10330,3089.8322555555555
microsoft/generative-ai-for-beginners,"JavaScript, HTML, Shell, Jupyter Notebook, Python, TypeScript",54882,28143,481.20478055555554
